   3.3594E-01   2.1287E-02   9.3339E-03   6.0075E-04   1.1657E-01   4.5891E-01   1.3989E-01   5.8834E-01
   3.4375E-01   2.0553E-02   9.0337E-03   5.8394E-04   1.1268E-01   4.4408E-01   1.3384E-01   5.6289E-01
   3.5156E-01   1.9840E-02   8.7443E-03   5.6804E-04   1.0892E-01   4.2978E-01   1.2798E-01   5.3822E-01
   3.5938E-01   1.9149E-02   8.4661E-03   5.5304E-04   1.0529E-01   4.1602E-01   1.2231E-01   5.1439E-01
   3.6719E-01   1.8481E-02   8.1991E-03   5.3895E-04   1.0180E-01   4.0281E-01   1.1686E-01   4.9146E-01
   3.7500E-01   1.7836E-02   7.9438E-03   5.2578E-04   9.8440E-02   3.9017E-01   1.1163E-01   4.6949E-01
   3.8281E-01   1.7217E-02   7.7003E-03   5.1352E-04   9.5223E-02   3.7812E-01   1.0665E-01   4.4852E-01
   3.9062E-01   1.6623E-02   7.4692E-03   5.0221E-04   9.2156E-02   3.6668E-01   1.0191E-01   4.2861E-01
   3.9844E-01   1.6057E-02   7.2507E-03   4.9187E-04   8.9242E-02   3.5586E-01   9.7444E-02   4.0981E-01
   4.0625E-01   1.5519E-02   7.0455E-03   4.8252E-04   8.6489E-02   3.4569E-01   9.3249E-02   3.9217E-01
   4.1406E-01   1.5012E-02   6.8547E-03   4.7425E-04   8.3913E-02   3.3624E-01   8.9342E-02   3.7574E-01
   4.2188E-01   1.4541E-02   6.6801E-03   4.6720E-04   8.1535E-02   3.2760E-01   8.5733E-02   3.6056E-01
   4.2969E-01   1.4108E-02   6.5232E-03   4.6145E-04   7.9374E-02   3.1982E-01   8.2432E-02   3.4668E-01
   4.3750E-01   1.3714E-02   6.3842E-03   4.5706E-04   7.7431E-02   3.1293E-01   7.9450E-02   3.3414E-01
   4.4531E-01   1.3362E-02   6.2648E-03   4.5417E-04   7.5727E-02   3.0702E-01   7.6794E-02   3.2297E-01
   4.5312E-01   1.3052E-02   6.1648E-03   4.5279E-04   7.4259E-02   3.0206E-01   7.4474E-02   3.1321E-01
   4.6094E-01   1.2785E-02   6.0851E-03   4.5304E-04   7.3036E-02   2.9811E-01   7.2498E-02   3.0490E-01
